model,num_train,num_test,num_train_0,num_train_1,num_test_0,num_test_1,auroc,aupr,cutoff,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,f1_score,mcc,precision_at_1,precision_at_5,precision_at_10,precision_at_50,precision_at_100
pooled,9673,9673,0,0,0,0,0.9259844082955315,0.8558084203070138,0.45,2639,5692,706,636,0.8612633102450119,0.8477272716426173,0.7889387144992526,0.8058015267175572,0.7972809667673716,0.6919348779546929,1.0,1.0,1.0,0.98,0.96
lq_estimators-eos4u6p,9673,9673,0,0,0,0,0.9144850132078488,0.8429614374748453,0.55,2611,5506,892,664,0.8391398738757366,0.828916670047176,0.7453611190408221,0.7972519083969466,0.7704337562702862,0.6477105930676392,1.0,1.0,1.0,1.0,0.98
lq_estimators-eos3l5f,9673,9673,0,0,0,0,0.9339851432580314,0.882519216092265,0.55,2795,5564,834,480,0.8641579654708984,0.8615409395588793,0.7701846238633232,0.8534351145038168,0.8096755504055619,0.7067397785500571,1.0,1.0,1.0,1.0,1.0
lq_estimators-eos2gw4,9673,9673,0,0,0,0,0.8725687655254862,0.7574572644508409,0.55,2507,5266,1132,768,0.8035769668148455,0.7942829462451291,0.6889255289914812,0.7654961832061069,0.7251952560023142,0.5749488112403698,1.0,1.0,1.0,0.84,0.86
lq_estimators-eos8a4x,9673,9673,0,0,0,0,0.883991967909819,0.7859642710628991,0.55,2547,5337,1061,728,0.8150522071746097,0.8059384254144306,0.7059312638580931,0.7777099236641222,0.7400842655818684,0.5987466903659135,1.0,1.0,0.9,0.98,0.98
lq_estimators-eos8aa5,9673,9673,0,0,0,0,0.9255872660588114,0.8580776542262316,0.55,2779,5477,921,496,0.8535097694613873,0.8522991917798739,0.7510810810810811,0.8485496183206107,0.7968458781362007,0.6860761040266022,1.0,1.0,0.9,0.96,0.96
lq_estimators-eos4ex3,9673,9673,0,0,0,0,0.8931867783109704,0.7920656235689563,0.55,2633,5356,1042,642,0.8259071642716841,0.8205530354189883,0.7164625850340136,0.803969465648855,0.7576978417266187,0.6250658281115724,1.0,1.0,1.0,0.94,0.92
lq_estimators-eos5axz,9673,9673,0,0,0,0,0.9073258103080877,0.8208084305500065,0.55,2673,5419,979,602,0.836555360281195,0.8315833192147355,0.7319277108433735,0.8161832061068702,0.7717626678215678,0.6473672759399735,1.0,1.0,1.0,1.0,0.99
lq_estimators-eos82v1,9673,9673,0,0,0,0,0.887470225666895,0.7833745756681098,0.55,2612,5316,1082,663,0.8196009511010028,0.8142209516809882,0.7070925825663238,0.797557251908397,0.7496053953221409,0.6121109985541855,1.0,1.0,0.9,0.9,0.91
lq_estimators-eos4ywv,9673,9673,0,0,0,0,0.833367941794788,0.7120480753081319,0.55,2325,5095,1303,950,0.7670836348599194,0.7531331355934225,0.6408489525909592,0.7099236641221374,0.6736201651455889,0.4948515930855348,1.0,0.8,0.9,0.9,0.9
lq_estimators-eos4rw4,9673,9673,0,0,0,0,0.9037432976431089,0.8237725485565475,0.55,2655,5362,1036,620,0.8288018194975706,0.8243807105751082,0.719317258195611,0.8106870229007633,0.7622739018087855,0.6320007003913605,1.0,1.0,1.0,1.0,0.97
lq_estimators-eos9o72,9673,9673,0,0,0,0,0.9189131622716069,0.8416208523636286,0.55,2764,5443,955,511,0.848444122816086,0.8473520351063906,0.7432105404678677,0.843969465648855,0.7903917643694596,0.6757874294873193,1.0,1.0,1.0,0.98,0.97
